feature,importance
Return Momentum (3M),0.5251209028278334
Return Lag 1,0.28122757713846624
VIX Index,0.04879987826834276
M2 Growth (%),0.039122764276221376
Consumer Sentiment,0.03420253644717924
BBB Spread,0.032779606189681065
Fed Funds Rate (Lag 12),0.025167663526229178
Asset: SP500,0.01098090104270627
Asset: Home Price,0.0025981702833404903
